,沪深300,沪深300,沪深300,沪深300,沪深300,沪深300,沪深300,沪深300
,C成交量,P成交量,总成交量,C持仓量,P持仓量,总持仓量,P/C成交,P/C持仓
2019-12-23,275182,193530,468712,107629,73071,180700,70,68
2019-12-24,186105,141566,327671,161726,118991,280717,76,74
2019-12-25,275320,229629,504949,227329,175600,402929,83,77
2019-12-26,329510,283556,613066,280215,228595,508810,86,82
2019-12-27,553764,436734,990498,327580,282926,610506,79,86
2019-12-30,586894,416133,1003027,355864,322106,677970,71,91
2019-12-31,553301,321510,874811,404268,367089,771357,58,91
2020-01-02,940706,551573,1492279,459561,409695,869256,59,89
2020-01-03,531635,322534,854169,500582,456511,957093,61,91
2020-01-06,809849,503226,1313075,571229,481103,1052332,62,84
2020-01-07,709704,410570,1120274,620525,525093,1145618,58,85
2020-01-08,713167,530639,1243806,693172,538580,1231752,74,78
2020-01-09,659457,439720,1099177,701716,565258,1266974,67,81
2020-01-10,560440,368140,928580,709397,583223,1292620,66,82
2020-01-13,705374,513888,1219262,688550,606606,1295156,73,88
2020-01-14,763484,500938,1264422,707547,636705,1344252,66,90
2020-01-15,697756,517880,1215636,750645,626760,1377405,74,83
2020-01-16,650732,432253,1082985,753321,632599,1385920,66,84
2020-01-17,653170,425332,1078502,749828,620239,1370067,65,83
2020-01-20,580464,462687,1043151,741998,629966,1371964,80,85
2020-01-21,800156,664348,1464504,810407,598440,1408847,83,74
2020-01-22,994402,833048,1827450,650547,486530,1137077,84,75
2020-01-23,1016420,1006598,2023018,770669,516790,1287459,99,67
2020-02-03,1101729,989039,2090768,806309,451171,1257480,90,56
2020-02-04,1107155,894836,2001991,879571,551544,1431115,81,63
2020-02-05,1004932,952485,1957417,909347,661765,1571112,95,73
2020-02-06,1359225,1093036,2452261,881426,752137,1633563,80,85
2020-02-07,906152,857717,1763869,922244,739034,1661278,95,80
2020-02-10,821454,886163,1707617,963706,795906,1759612,108,83
2020-02-11,932322,917802,1850124,952062,868936,1820998,98,91
2020-02-12,672100,737011,1409111,952599,907524,1860123,110,95
2020-02-13,800064,893923,1693987,975957,951688,1927645,112,98
2020-02-14,834742,915452,1750194,944194,975082,1919276,110,103
2020-02-17,1411621,1235094,2646715,891697,1033533,1925230,87,116
2020-02-18,1043878,1019076,2062954,937522,1023638,1961160,98,109
2020-02-19,1026069,899578,1925647,960555,1067711,2028266,88,111
2020-02-20,1720703,1428043,3148746,849687,1137304,1986991,83,134
2020-02-21,1693068,1242185,2935253,875250,1157271,2032521,73,132
2020-02-24,1259523,1233501,2493024,892430,1114673,2007103,98,125
2020-02-25,1414246,1741069,3155315,911282,1048072,1959354,123,115
2020-02-26,1257780,1446508,2704288,706284,707341,1413625,115,100
2020-02-27,872393,837417,1709810,777092,778100,1555192,96,100
2020-02-28,1555280,1963018,3518298,870087,768027,1638114,126,88
2020-03-02,1504707,1297554,2802261,807090,857128,1664218,86,106
2020-03-03,1354040,1039134,2393174,856273,927115,1783388,77,108
2020-03-04,902368,935203,1837571,875530,953602,1829132,104,109
2020-03-05,1609063,1287847,2896910,814538,1034379,1848917,80,127
2020-03-06,913849,1007393,1921242,881998,969936,1851934,110,110
2020-03-09,1320045,1647570,2967615,920198,885663,1805861,125,96
2020-03-10,1512950,1479466,2992416,980809,906942,1887751,98,92
2020-03-11,971073,958841,1929914,996601,940001,1936602,99,94
2020-03-12,1204235,1617656,2821891,1085449,949794,2035243,134,88
2020-03-13,1744233,1995824,3740057,1136034,898022,2034056,114,79
2020-03-16,1418819,1626621,3045440,1194601,880012,2074613,115,74
2020-03-17,1571877,1642950,3214827,1336983,833150,2170133,105,62
2020-03-18,1752545,1569433,3321978,1239317,817831,2057148,90,66
2020-03-19,1787595,1889992,3677587,1311299,786187,2097486,106,60
2020-03-20,1410648,1259676,2670324,1265636,799787,2065423,89,63
2020-03-23,1158907,1259469,2418376,1266763,752112,2018875,109,59
2020-03-24,1331375,1122899,2454274,1272850,745101,2017951,84,59
2020-03-25,1271014,922092,2193106,777802,589503,1367305,73,76
2020-03-26,735291,665574,1400865,842174,646295,1488469,91,77
2020-03-27,811449,675852,1487301,876054,685837,1561891,83,78
2020-03-30,713987,747187,1461174,923644,706330,1629974,105,76
2020-03-31,713320,590602,1303922,955146,733017,1688163,83,77
2020-04-01,821959,744236,1566195,958383,763633,1722016,91,80
2020-04-02,769084,680246,1449330,991877,794029,1785906,88,80
2020-04-03,657023,627337,1284360,1016115,847956,1864071,95,83
