,中证500,中证500,中证500,中证500,中证500,中证500,中证500,中证500
,C成交量,P成交量,总成交量,C持仓量,P持仓量,总持仓量,P/C成交,P/C持仓
2022-09-19,105643,162120,267763,42012,54416,96428,153,130
2022-09-20,113774,110951,224725,62610,75664,138274,98,121
2022-09-21,148759,147383,296142,84991,96279,181270,99,113
2022-09-22,156782,145453,302235,105655,117827,223482,93,112
2022-09-23,240739,282434,523173,127274,129720,256994,117,102
2022-09-26,215386,214553,429939,140217,143393,283610,100,102
2022-09-27,260712,223320,484032,140249,158255,298504,86,113
2022-09-28,296810,263862,560672,168465,163000,331465,89,97
2022-09-29,310359,268766,579125,188054,184700,372754,87,98
2022-09-30,291381,322950,614331,213815,204289,418104,111,96
2022-10-10,350744,346566,697310,248149,214908,463057,99,87
2022-10-11,293059,281372,574431,252944,229213,482157,96,91
2022-10-12,479007,440894,919901,239440,244153,483593,92,102
2022-10-13,439847,316724,756571,244451,260284,504735,72,106
2022-10-14,518693,382610,901303,245887,290947,536834,74,118
2022-10-17,424580,335229,759809,263813,307621,571434,79,117
2022-10-18,437607,370512,808119,262972,324045,587017,85,123
2022-10-19,360048,339999,700047,274128,316047,590175,94,115
2022-10-20,653301,630779,1284080,285869,322756,608625,97,113
2022-10-21,468902,419650,888552,290066,325404,615470,89,112
2022-10-24,600505,635169,1235674,278977,312829,591806,106,112
2022-10-25,521028,616488,1137516,313163,330294,643457,118,105
2022-10-26,465508,463179,928687,241586,255215,496801,99,106
2022-10-27,305605,277123,582728,270924,278837,549761,91,103
2022-10-28,385243,449198,834441,319334,285852,605186,117,90
2022-10-31,403499,372402,775901,336557,295443,632000,92,88
2022-11-01,419573,415804,835377,323607,309020,632627,99,95
2022-11-02,353623,293064,646687,316588,318692,635280,83,101
2022-11-03,290818,230157,520975,331162,324878,656040,79,98
2022-11-04,542810,471547,1014357,306254,331128,637382,87,108
2022-11-07,359493,270905,630398,310556,336048,646604,75,108
2022-11-08,295186,211957,507143,311170,336670,647840,72,108
2022-11-09,327942,233310,561252,327038,341037,668075,71,104
2022-11-10,293327,245907,539234,335645,342591,678236,84,102
2022-11-11,564445,385202,949647,320796,339942,660738,68,106
2022-11-14,383003,341388,724391,320582,349024,669606,89,109
2022-11-15,382457,354211,736668,323066,371397,694463,93,115
2022-11-16,326029,263543,589572,331016,366736,697752,81,111
2022-11-17,377660,356737,734397,336470,363764,700234,94,108
2022-11-18,344701,273072,617773,347614,373521,721135,79,107
2022-11-21,287300,264284,551584,328289,344734,673023,92,105
2022-11-22,315177,303157,618334,329037,336954,665991,96,102
2022-11-23,310904,297920,608824,240256,223296,463552,96,93
2022-11-24,201179,180879,382058,259206,239248,498454,90,92
2022-11-25,212785,238073,450858,265600,246000,511600,112,93
2022-11-28,254706,302060,556766,276612,255844,532456,119,92
2022-11-29,276039,253396,529435,275252,275244,550496,92,100
2022-11-30,201296,155068,356364,284014,275357,559371,77,97
2022-12-01,235984,192553,428537,290253,284936,575189,82,98
2022-12-02,196574,184532,381106,300002,280549,580551,94,94
2022-12-05,167413,136970,304383,301911,285863,587774,82,95
2022-12-06,255577,217202,472779,297729,287416,585145,85,97
2022-12-07,234543,194819,429362,307090,289220,596310,83,94
2022-12-08,174039,189593,363632,305803,296470,602273,109,97
2022-12-09,207507,251406,458913,309064,299010,608074,121,97
2022-12-12,191388,198310,389698,318046,297214,615260,104,93
2022-12-13,151010,162302,313312,318019,294210,612229,107,93
2022-12-14,177708,175265,352973,317479,293269,610748,99,92
2022-12-15,167082,177632,344714,321259,291684,612943,106,91
2022-12-16,190189,205403,395592,321257,295488,616745,108,92
2022-12-19,329815,397730,727545,337307,301671,638978,121,89
2022-12-20,316831,367423,684254,359922,309309,669231,116,86
2022-12-21,317602,442661,760263,358212,305795,664007,139,85
2022-12-22,347169,471356,818525,368229,314691,682920,136,85
2022-12-23,323558,448269,771827,384530,320696,705226,139,83
2022-12-26,260954,277848,538802,359650,292967,652617,106,81
2022-12-27,264565,288376,552941,348358,286438,634796,109,82
2022-12-28,154550,182712,337262,214781,217812,432593,118,101
2022-12-29,197434,187783,385217,238633,234904,473537,95,98
2022-12-30,141449,117959,259408,251139,242300,493439,83,96
2023-01-03,249701,264447,514148,245894,285648,531542,106,116
2023-01-04,190463,199694,390157,254839,298188,553027,105,117
2023-01-05,257762,245691,503453,256834,309353,566187,95,120
2023-01-06,265072,245381,510453,255186,312533,567719,93,122
2023-01-09,186875,151925,338800,258526,320075,578601,81,124
2023-01-10,163518,145476,308994,262847,327770,590617,89,125
2023-01-11,194772,167887,362659,267440,329127,596567,86,123
2023-01-12,203687,212130,415817,274784,338646,613430,104,123
2023-01-13,228822,239668,468490,271906,343940,615846,105,126
2023-01-16,474222,351695,825917,283380,343343,626723,74,121
2023-01-17,248778,183417,432195,287623,344156,631779,74,120
2023-01-18,310802,209504,520306,287658,338558,626216,67,118
2023-01-19,353941,254394,608335,281704,329908,611612,72,117
2023-01-20,304711,249335,554046,279952,337808,617760,82,121
2023-01-30,326978,217293,544271,243461,261427,504888,66,107
2023-01-31,176732,156325,333057,258525,283901,542426,88,110
2023-02-01,293642,210978,504620,275477,297046,572523,72,108
2023-02-02,344166,233744,577910,294210,295084,589294,68,100
2023-02-03,334822,272104,606926,310896,298500,609396,81,96
2023-02-06,259243,239647,498890,322817,302105,624922,92,94
2023-02-07,278914,261703,540617,319005,309405,628410,94,97
2023-02-08,249980,251785,501765,325128,316894,642022,101,97
2023-02-09,318020,306889,624909,310707,327564,638271,96,105
2023-02-10,319008,296794,615802,320883,327392,648275,93,102
2023-02-13,278316,285181,563497,324888,342047,666935,102,105
2023-02-14,235748,258258,494006,331072,349238,680310,110,105
