,上证50,上证50,上证50,上证50,上证50,上证50,上证50,上证50
,C成交量,P成交量,总成交量,C持仓量,P持仓量,总持仓量,P/C成交,P/C持仓
2015-02-09,11320,7523,18843,4923,3728,8651,66,76
2015-02-10,9820,7985,17805,7851,6550,14401,81,83
2015-02-11,12190,11246,23436,10765,9694,20459,92,90
2015-02-12,16792,13143,29935,13931,10762,24693,78,77
2015-02-13,28879,26260,55139,16322,17389,33711,91,107
2015-02-16,5656,7063,12719,17456,17190,34646,125,98
2015-02-17,6839,8812,15651,17963,16450,34413,129,92
2015-02-25,10278,6579,16857,18956,16470,35426,64,87
2015-02-26,7563,9634,17197,18824,17220,36044,127,91
2015-02-27,14390,10536,24926,21910,18755,40665,73,86
2015-03-02,10452,9488,19940,23724,20154,43878,91,85
2015-03-03,7599,6051,13650,25118,21128,46246,80,84
2015-03-04,9904,9184,19088,26513,20676,47189,93,78
2015-03-05,18654,15672,34326,28489,21222,49711,84,74
2015-03-06,14526,12618,27144,28662,21136,49798,87,74
2015-03-09,28119,33135,61254,30693,23015,53708,118,75
2015-03-10,12873,9595,22468,30062,22683,52745,75,75
2015-03-11,11337,9550,20887,30292,22787,53079,84,75
2015-03-12,18747,12091,30838,30518,23850,54368,64,78
2015-03-13,10830,8178,19008,30718,23905,54623,76,78
2015-03-16,14279,9601,23880,31913,24668,56581,67,77
2015-03-17,11476,8822,20298,32453,25287,57740,77,78
2015-03-18,14038,9416,23454,33406,27765,61171,67,83
2015-03-19,13949,8131,22080,33426,27468,60894,58,82
2015-03-20,23814,17440,41254,32940,28529,61469,73,87
2015-03-23,14622,14160,28782,32846,29071,61917,97,89
2015-03-24,15370,11741,27111,34308,29397,63705,76,86
2015-03-25,17750,13069,30819,26227,18605,44832,74,71
2015-03-26,8945,7276,16221,27706,20011,47717,81,72
2015-03-27,6518,3322,9840,29865,20575,50440,51,69
2015-03-30,7764,6675,14439,29741,22095,51836,86,74
2015-03-31,12468,11450,23918,31864,24546,56410,92,77
2015-04-01,14878,11435,26313,36603,28756,65359,77,79
2015-04-02,12686,10017,22703,40773,30880,71653,79,76
2015-04-03,9188,8914,18102,42027,33284,75311,97,79
2015-04-07,12284,11596,23880,42375,35889,78264,94,85
2015-04-08,19332,14094,33426,44496,39627,84123,73,89
2015-04-09,21910,16248,38158,47609,41666,89275,74,88
2015-04-10,13325,11953,25278,49600,43528,93128,90,88
2015-04-13,20503,18023,38526,52548,46351,98899,88,88
2015-04-14,21896,14230,36126,56201,47779,103980,65,85
2015-04-15,27026,16191,43217,56701,50017,106718,60,88
2015-04-16,27738,17187,44925,58286,51867,110153,62,89
2015-04-17,29255,21437,50692,61780,54977,116757,73,89
2015-04-20,34304,26178,60482,65976,59234,125210,76,90
2015-04-21,18751,13932,32683,68430,58945,127375,74,86
2015-04-22,18114,13300,31414,47802,29310,77112,73,61
2015-04-23,13724,11349,25073,50941,32703,83644,83,64
2015-04-24,16053,15005,31058,54827,37151,91978,93,68
2015-04-27,14381,13559,27940,53423,40463,93886,94,76
2015-04-28,20752,18149,38901,55671,44649,100320,87,80
2015-04-29,12434,10396,22830,57516,47497,105013,84,83
2015-04-30,11365,7044,18409,60234,48666,108900,62,81
2015-05-04,12208,9234,21442,61398,51194,112592,76,83
2015-05-05,25002,17957,42959,66014,54956,120970,72,83
2015-05-06,27094,22556,49650,69844,58169,128013,83,83
2015-05-07,25195,18060,43255,79979,59424,139403,72,74
2015-05-08,30127,16761,46888,89175,59887,149062,56,67
2015-05-11,28043,16815,44858,91622,60638,152260,60,66
2015-05-12,27742,15270,43012,96786,64568,161354,55,67
2015-05-13,22057,11000,33057,102472,66949,169421,50,65
2015-05-14,18979,13167,32146,103175,69442,172617,69,67
2015-05-15,32726,23453,56179,103737,68511,172248,72,66
2015-05-18,42427,31318,73745,110826,72948,183774,74,66
2015-05-19,48172,31364,79536,114276,71468,185744,65,63
2015-05-20,44266,26184,70450,117347,72682,190029,59,62
2015-05-21,36113,30813,66926,119122,74801,193923,85,63
2015-05-22,45656,30022,75678,114575,79363,193938,66,69
2015-05-25,49458,24340,73798,112389,82595,194984,49,73
