xx,TRADE_DATE,SECURITY_CODE,SECURITY_ABBR,CALL_VOLUME,PUT_VOLUME,TOTAL_VOLUME,LEAVES_CALL_QTY,LEAVES_PUT_QTY,LEAVES_QTY,CJ_PC,CCL_PC
2.02e+13,20150209,510050,50ETF,11320,7523,18843,4923,3728,8651,66.46,75.73
2.02e+13,20150210,510050,50ETF,9820,7985,17805,7851,6550,14401,81.31,83.43
2.02e+13,20150211,510050,50ETF,12190,11246,23436,10765,9694,20459,92.26,90.05
2.02e+13,20150212,510050,50ETF,16792,13143,29935,13931,10762,24693,78.27,77.25
2.02e+13,20150213,510050,50ETF,28879,26260,55139,16322,17389,33711,90.93,106.54
2.02e+13,20150216,510050,50ETF,5656,7063,12719,17456,17190,34646,124.88,98.48
2.02e+13,20150217,510050,50ETF,6839,8812,15651,17963,16450,34413,128.85,91.58
2.02e+13,20150225,510050,50ETF,10278,6579,16857,18956,16470,35426,64.01,86.89
2.02e+13,20150226,510050,50ETF,7563,9634,17197,18824,17220,36044,127.38,91.48
2.02e+13,20150227,510050,50ETF,14390,10536,24926,21910,18755,40665,73.22,85.6
2.02e+13,20150302,510050,50ETF,10452,9488,19940,23724,20154,43878,90.78,84.95
2.02e+13,20150303,510050,50ETF,7599,6051,13650,25118,21128,46246,79.63,84.11
2.02e+13,20150304,510050,50ETF,9904,9184,19088,26513,20676,47189,92.73,77.98
2.02e+13,20150305,510050,50ETF,18654,15672,34326,28489,21222,49711,84.01,74.49
2.02e+13,20150306,510050,50ETF,14526,12618,27144,28662,21136,49798,86.86,73.74
2.02e+13,20150309,510050,50ETF,28119,33135,61254,30693,23015,53708,117.84,74.98
2.02e+13,20150310,510050,50ETF,12873,9595,22468,30062,22683,52745,74.54,75.45
2.02e+13,20150311,510050,50ETF,11337,9550,20887,30292,22787,53079,84.24,75.22
2.02e+13,20150312,510050,50ETF,18747,12091,30838,30518,23850,54368,64.5,78.15
2.02e+13,20150313,510050,50ETF,10830,8178,19008,30718,23905,54623,75.51,77.82
2.02e+13,20150316,510050,50ETF,14279,9601,23880,31913,24668,56581,67.24,77.3
2.02e+13,20150317,510050,50ETF,11476,8822,20298,32453,25287,57740,76.87,77.92
2.02e+13,20150318,510050,50ETF,14038,9416,23454,33406,27765,61171,67.08,83.11
2.02e+13,20150319,510050,50ETF,13949,8131,22080,33426,27468,60894,58.29,82.18
2.02e+13,20150320,510050,50ETF,23814,17440,41254,32940,28529,61469,73.23,86.61
2.02e+13,20150323,510050,50ETF,14622,14160,28782,32846,29071,61917,96.84,88.51
2.02e+13,20150324,510050,50ETF,15370,11741,27111,34308,29397,63705,76.39,85.69
2.02e+13,20150325,510050,50ETF,17750,13069,30819,26227,18605,44832,73.63,70.94
2.02e+13,20150326,510050,50ETF,8945,7276,16221,27706,20011,47717,81.34,72.23
2.02e+13,20150327,510050,50ETF,6518,3322,9840,29865,20575,50440,50.97,68.89
2.02e+13,20150330,510050,50ETF,7764,6675,14439,29741,22095,51836,85.97,74.29
2.02e+13,20150331,510050,50ETF,12468,11450,23918,31864,24546,56410,91.84,77.03
2.02e+13,20150401,510050,50ETF,14878,11435,26313,36603,28756,65359,76.86,78.56
2.02e+13,20150402,510050,50ETF,12686,10017,22703,40773,30880,71653,78.96,75.74
2.02e+13,20150403,510050,50ETF,9188,8914,18102,42027,33284,75311,97.02,79.2
2.02e+13,20150407,510050,50ETF,12284,11596,23880,42375,35889,78264,94.4,84.69
2.02e+13,20150408,510050,50ETF,19332,14094,33426,44496,39627,84123,72.91,89.06
2.02e+13,20150409,510050,50ETF,21910,16248,38158,47609,41666,89275,74.16,87.52
2.02e+13,20150410,510050,50ETF,13325,11953,25278,49600,43528,93128,89.7,87.76
2.02e+13,20150413,510050,50ETF,20503,18023,38526,52548,46351,98899,87.9,88.21
2.02e+13,20150414,510050,50ETF,21896,14230,36126,56201,47779,103980,64.99,85.01
2.02e+13,20150415,510050,50ETF,27026,16191,43217,56701,50017,106718,59.91,88.21
2.02e+13,20150416,510050,50ETF,27738,17187,44925,58286,51867,110153,61.96,88.99
2.02e+13,20150417,510050,50ETF,29255,21437,50692,61780,54977,116757,73.28,88.99
2.02e+13,20150420,510050,50ETF,34304,26178,60482,65976,59234,125210,76.31,89.78
2.02e+13,20150421,510050,50ETF,18751,13932,32683,68430,58945,127375,74.3,86.14
2.02e+13,20150422,510050,50ETF,18114,13300,31414,47802,29310,77112,73.42,61.32
2.02e+13,20150423,510050,50ETF,13724,11349,25073,50941,32703,83644,82.69,64.2
2.02e+13,20150424,510050,50ETF,16053,15005,31058,54827,37151,91978,93.47,67.76
2.02e+13,20150427,510050,50ETF,14381,13559,27940,53423,40463,93886,94.28,75.74
2.02e+13,20150428,510050,50ETF,20752,18149,38901,55671,44649,100320,87.46,80.2
2.02e+13,20150429,510050,50ETF,12434,10396,22830,57516,47497,105013,83.61,82.58
2.02e+13,20150430,510050,50ETF,11365,7044,18409,60234,48666,108900,61.98,80.79
2.02e+13,20150504,510050,50ETF,12208,9234,21442,61398,51194,112592,75.64,83.38
2.02e+13,20150505,510050,50ETF,25002,17957,42959,66014,54956,120970,71.82,83.25
2.02e+13,20150506,510050,50ETF,27094,22556,49650,69844,58169,128013,83.25,83.28
2.02e+13,20150507,510050,50ETF,25195,18060,43255,79979,59424,139403,71.68,74.3
2.02e+13,20150508,510050,50ETF,30127,16761,46888,89175,59887,149062,55.63,67.16
2.02e+13,20150511,510050,50ETF,28043,16815,44858,91622,60638,152260,59.96,66.18
2.02e+13,20150512,510050,50ETF,27742,15270,43012,96786,64568,161354,55.04,66.71
2.02e+13,20150513,510050,50ETF,22057,11000,33057,102472,66949,169421,49.87,65.33
2.02e+13,20150514,510050,50ETF,18979,13167,32146,103175,69442,172617,69.38,67.31
2.02e+13,20150515,510050,50ETF,32726,23453,56179,103737,68511,172248,71.66,66.04
2.02e+13,20150518,510050,50ETF,42427,31318,73745,110826,72948,183774,73.82,65.82
2.02e+13,20150519,510050,50ETF,48172,31364,79536,114276,71468,185744,65.11,62.54
2.02e+13,20150520,510050,50ETF,44266,26184,70450,117347,72682,190029,59.15,61.94
2.02e+13,20150521,510050,50ETF,36113,30813,66926,119122,74801,193923,85.32,62.79
2.02e+13,20150522,510050,50ETF,45656,30022,75678,114575,79363,193938,65.76,69.27
