,CRB商品指数
2016-01-04,174.486
2016-01-05,173.067
2016-01-06,169.454
2016-01-07,168.54
2016-01-08,168.578
2016-01-11,164.237
2016-01-12,162.075
2016-01-13,162.391
2016-01-14,163.122
2016-01-15,159.935
2016-01-19,159.482
2016-01-20,156.318
2016-01-21,159.14
2016-01-22,163.803
2016-01-25,160.459
2016-01-26,162.679
2016-01-27,164.18
2016-01-28,165.218
2016-01-29,166.753
2016-02-01,163.487
2016-02-02,160.181
2016-02-03,164.187
2016-02-04,163.453
2016-02-05,161.932
2016-02-08,160.58
2016-02-09,156.578
2016-02-10,156.399
2016-02-11,155.01
2016-02-12,160.363
2016-02-16,158.865
2016-02-17,162.538
2016-02-18,161.89
2016-02-19,159.633
2016-02-22,162.637
2016-02-23,160.436
2016-02-24,161.495
2016-02-25,162.637
2016-02-26,161.67
2016-02-29,163.216
2016-03-01,163.87
2016-03-02,164.615
2016-03-03,165.037
2016-03-04,168.549
2016-03-07,171.703
2016-03-08,169.469
2016-03-09,172.219
2016-03-10,171.887
2016-03-11,173.526
2016-03-14,172.384
2016-03-15,171.072
2016-03-16,173.758
2016-03-17,177.656
2016-03-18,176.346
2016-03-21,176.365
2016-03-22,177.116
2016-03-23,173.24
2016-03-24,172.18
2016-03-28,172.566
2016-03-29,171.468
2016-03-30,170.973
2016-03-31,170.521
2016-04-01,168.027
2016-04-04,165.791
2016-04-05,165.225
2016-04-06,167.525
2016-04-07,166.838
2016-04-08,171.041
2016-04-11,171.825
2016-04-12,175.486
2016-04-13,175.653
2016-04-14,174.774
2016-04-15,173.636
2016-04-18,174.112
2016-04-19,177.923
2016-04-20,181.436
2016-04-21,179.877
2016-04-22,179.654
2016-04-25,178.869
2016-04-26,181.483
2016-04-27,182.489
2016-04-28,183.162
2016-04-29,184.611
2016-05-02,182.528
2016-05-03,179.844
2016-05-04,179.872
2016-05-05,178.925
2016-05-06,179.91
2016-05-09,177.035
2016-05-10,180.281
2016-05-11,183.335
2016-05-12,183.646
2016-05-13,182.548
2016-05-16,184.584
2016-05-17,185.856
2016-05-18,185.399
2016-05-19,183.882
2016-05-20,184.207
2016-05-23,183.195
2016-05-24,183.345
2016-05-25,185.3
2016-05-26,185.586
2016-05-27,186.137
2016-05-31,186.153
2016-06-01,186.825
2016-06-02,188.025
2016-06-03,188.669
2016-06-06,191.27
2016-06-07,192.427
2016-06-08,195.822
2016-06-09,195.099
2016-06-10,192.888
2016-06-13,192.899
2016-06-14,192.208
2016-06-15,191.74
2016-06-16,188.894
2016-06-17,192.375
2016-06-20,194.406
2016-06-21,193.077
2016-06-22,191.809
2016-06-23,193.524
2016-06-24,188.689
2016-06-27,187.568
2016-06-28,191.545
2016-06-29,194.636
2016-06-30,192.574
2016-07-01,194.26
2016-07-05,189.66
2016-07-06,189.956
2016-07-07,185.702
2016-07-08,187.173
2016-07-11,186.707
2016-07-12,190.228
2016-07-13,188.589
2016-07-14,190.096
2016-07-15,188.858
2016-07-18,188.194
2016-07-19,186.104
2016-07-20,185.086
2016-07-21,183.666
2016-07-22,182.901
2016-07-25,181.31
2016-07-26,181.219
2016-07-27,179.619
2016-07-28,179.215
2016-07-29,181.014
2016-08-01,178.213
2016-08-02,177.317
2016-08-03,179.789
2016-08-04,181.346
2016-08-05,181.799
2016-08-08,182.795
2016-08-09,181.43
2016-08-10,179.549
2016-08-11,181.99
2016-08-12,181.99
2016-08-17,186.9
2016-08-18,189.34
2016-08-19,188.78
2016-08-22,187.34
2016-08-23,188.45
2016-08-24,185.75
2016-08-25,186.24
2016-08-26,186.11
2016-08-29,184.43
2016-08-30,182.82
2016-08-31,180.21
2016-09-01,178.21
2016-09-02,179.99
2016-09-06,180.9
2016-09-07,182.47
2016-09-08,185.63
2016-09-09,182.54
2016-09-12,182.94
2016-09-13,180.56
2016-09-14,179.49
2016-09-15,180.68
2016-09-16,180.78
2016-09-19,181.64
2016-09-20,182.97
2016-09-21,184.86
2016-09-22,186.32
2016-09-23,183.1
2016-09-26,184.98
2016-09-27,183.11
2016-09-28,185.9
2016-09-29,185.83
2016-09-30,186.32
2016-10-03,187.03
2016-10-04,187.3
2016-10-05,188.78
2016-10-06,188.54
2016-10-07,188.32
2016-10-10,190.28
2016-10-11,189.16
2016-10-12,188.07
2016-10-13,189.14
2016-10-14,189.47
2016-10-17,189.39
2016-10-18,189.78
2016-10-19,190.77
2016-10-20,188.78
2016-10-21,189.4
2016-10-24,189.44
2016-10-25,189.35
2016-10-26,188.72
2016-10-27,190.05
2016-10-28,189.21
2016-10-31,186.28
2016-11-01,185.81
2016-11-02,184.29
2016-11-03,183.38
2016-11-04,182.5
2016-11-07,183.5
2016-11-08,183.55
2016-11-09,183.99
2016-11-10,183.33
2016-11-11,180.74
2016-11-14,180.26
2016-11-15,183.08
2016-11-16,182.34
2016-11-17,182.44
2016-11-18,183.14
2016-11-21,187.31
2016-11-22,187.56
2016-11-23,187.69
2016-11-25,185.73
2016-11-28,187.76
2016-11-29,183.98
2016-11-30,189.31
2016-12-01,191.41
2016-12-02,191.69
2016-12-05,193.48
2016-12-06,192.53
2016-12-07,190.85
2016-12-08,191.41
2016-12-09,191.98
2016-12-12,193.35
2016-12-13,193.46
2016-12-14,191.79
2016-12-15,190.48
2016-12-16,191.43
2016-12-19,191.22
2016-12-20,190.57
2016-12-21,190.78
2016-12-22,190.31
2016-12-23,190.53
2016-12-27,192.75
2016-12-28,193.03
2016-12-29,192.9
2016-12-30,192.51
2017-01-03,190.15
2017-01-04,192.98
2017-01-05,193.71
2017-01-06,193.54
2017-01-09,190.6
2017-01-10,191.14
2017-01-11,192.29
2017-01-12,194.97
2017-01-13,194.54
2017-01-17,195.14
2017-01-18,193.36
2017-01-19,192.96
2017-01-20,194.02
2017-01-23,194.44
2017-01-24,194.95
2017-01-25,193.98
2017-01-26,194.26
2017-01-27,193.43
2017-01-30,191.26
2017-01-31,192.04
2017-02-01,194.34
2017-02-02,193.52
2017-02-03,193.2
2017-02-06,192.16
2017-02-07,191.37
2017-02-08,192.26
2017-02-09,192.76
2017-02-10,194.04
2017-02-13,192.06
2017-02-14,192.28
2017-02-15,193.26
2017-02-16,192.76
2017-02-17,192.12
2017-02-21,192.05
2017-02-22,191.23
2017-02-23,191.63
2017-02-24,190.93
2017-02-27,189.88
2017-02-28,190.62
2017-03-01,191.27
2017-03-02,188.81
2017-03-03,189.72
2017-03-06,189.42
2017-03-07,188.02
2017-03-08,185.05
2017-03-09,183.22
2017-03-10,182.65
2017-03-13,183.16
2017-03-14,182.12
2017-03-15,183.8
2017-03-16,184.04
2017-03-17,184.48
2017-03-20,184.78
2017-03-21,184.29
2017-03-22,183.85
2017-03-23,183.64
2017-03-24,183.47
2017-03-27,183.1
2017-03-28,184.08
2017-03-29,185.21
2017-03-30,185.52
2017-03-31,185.88
2017-04-03,184.53
2017-04-04,185.59
2017-04-05,186.15
2017-04-06,186.78
2017-04-07,187.11
2017-04-10,187.63
2017-04-11,188
2017-04-12,187.38
2017-04-13,187.77
2017-04-17,187.39
2017-04-18,186.54
2017-04-19,183.92
2017-04-20,183.04
2017-04-21,181.87
2017-04-24,180.93
2017-04-25,181.91
2017-04-26,181.71
2017-04-27,180.49
2017-04-28,181.73
2017-05-01,181.59
2017-05-02,180.34
2017-05-03,180.4
2017-05-04,177.01
2017-05-05,177.92
2017-05-08,178.13
2017-05-09,177.29
2017-05-10,179.51
2017-05-11,180.44
2017-05-12,181.69
2017-05-15,182.74
2017-05-16,182.14
2017-05-17,183.37
2017-05-18,182.51
2017-05-19,185.08
2017-05-22,186.07
2017-05-23,185.06
2017-05-24,183.92
2017-05-25,181.15
