,铜
2016-01-04,3009.2682
2016-01-05,3052.7126
2016-01-06,3029.9801
2016-01-07,3017.4388
2016-01-08,2983.1592
2016-01-11,2907.0752
2016-01-12,2895.37
2016-01-13,2910.4196
2016-01-14,2920.4526
2016-01-15,2909.5835
2016-01-18,2925.4692
2016-01-19,2956.4044
2016-01-20,2932.994
2016-01-21,2913.7639
2016-01-22,2942.1909
2016-01-25,2927.9774
2016-01-26,2934.6661
2016-01-27,2991.5201
2016-01-28,2976.4705
2016-01-29,2983.1592
2016-02-01,2963.9292
2016-02-02,2980.3072
2016-02-03,2982.4757
2016-02-04,3039.7117
2016-02-05,3040.7126
2016-02-15,2977.4165
2016-02-16,2977.4165
2016-02-17,2954.9297
2016-02-18,2973.2523
2016-02-19,2991.5748
2016-02-22,3027.3871
2016-02-23,3014.8945
2016-02-24,2982.4135
2016-02-25,2991.5748
2016-02-26,2984.9121
2016-02-29,2984.9121
2016-03-01,2994.9062
2016-03-02,3067.6752
2016-03-03,3070.6681
2016-03-04,3149.6465
2016-03-07,3161.7757
2016-03-08,3133.553
2016-03-09,3097.8595
2016-03-10,3096.1994
2016-03-11,3130.2327
2016-03-14,3133.553
2016-03-15,3092.049
2016-03-16,3057.1856
2016-03-17,3057.1856
2016-03-18,3057.1856
2016-03-21,3057.1856
2016-03-22,3057.1856
2016-03-23,3173.7427
2016-03-24,3164.1127
2016-03-25,3112.0931
2016-03-28,3112.0931
2016-03-29,3112.0931
2016-03-30,3112.0931
2016-03-31,3112.0931
2016-04-01,3055.1192
2016-04-05,3030.348
2016-04-06,3031.1737
2016-04-07,3031.1737
2016-04-08,2961.8143
2016-04-11,2965.9428
2016-04-12,2965.9428
2016-04-13,2965.9428
2016-04-14,2965.9428
2016-04-15,3054.2935
2016-04-18,3022.9166
2016-04-19,3050.165
2016-04-20,3084.8447
2016-04-21,3145.9471
2016-04-22,3135.2129
2016-04-25,3147.5985
2016-04-26,3112.9188
2016-04-27,3107.1388
