,LDAU
2016-01-04,1073.4
2016-01-05,1077.8
2016-01-06,1083.8
2016-01-07,1096.4
2016-01-08,1097.3
2016-01-12,1094.7
2016-01-13,1081.5
2016-01-14,1092.6
2016-01-15,1081.7
2016-01-18,1091.6
2016-01-19,1087.7
2016-01-20,1094.2
2016-01-21,1097.8
2016-01-22,1096.4
2016-01-25,1103.7
2016-01-26,1114
2016-01-27,1117.5
2016-01-28,1118
2016-01-29,1114
2016-02-01,1122.7
2016-02-02,1125.7
2016-02-03,1129.1
2016-02-04,1146.6
2016-02-05,1158.1
2016-02-09,1189.3
2016-02-10,1183.9
2016-02-11,1224.8
2016-02-12,1239.6
2016-02-16,1212.2
2016-02-17,1201.2
2016-02-18,1205.2
2016-02-19,1222.5
2016-02-22,1225
2016-02-23,1219
2016-02-24,1232.7
2016-02-25,1236
2016-02-26,1231.8
2016-02-29,1235.2
2016-03-01,1240.1
2016-03-02,1229.9
2016-03-03,1242.1
2016-03-04,1271.7
2016-03-07,1268.3
2016-03-08,1274.8
2016-03-09,1258.7
2016-03-10,1247
2016-03-11,1262.7
2016-03-14,1256.9
2016-03-15,1233.7
2016-03-16,1233.2
2016-03-17,1269.5
2016-03-18,1254.8
2016-03-21,1253.1
2016-03-22,1251.8
2016-03-23,1233.5
2016-03-24,1218.4
2016-03-29,1218
2016-03-30,1238.2
2016-03-31,1234.2
2016-04-01,1231.2
2016-04-04,1216.1
2016-04-05,1231.2
2016-04-06,1225.2
2016-04-07,1235.6
2016-04-08,1233.6
2016-04-11,1249.3
2016-04-12,1257.1
2016-04-13,1244.1
2016-04-14,1239.2
2016-04-15,1230.1
2016-04-18,1238
2016-04-19,1242.6
2016-04-20,1248
2016-04-21,1259.1
2016-04-22,1246.3
2016-04-25,1232.6
2016-04-26,1234.5
2016-04-27,1245.4
2016-04-28,1256.3
2016-04-29,1277.3
2016-05-02,1301.2
2016-05-03,1296
2016-05-04,1278
2016-05-05,1276.5
2016-05-06,1280.9
2016-05-09,1274.5
2016-05-10,1265.4
2016-05-11,1272.8
2016-05-12,1268.2
2016-05-13,1273.7
2016-05-16,1282.4
2016-05-17,1271.5
2016-05-18,1272.6
2016-05-19,1254.4
2016-05-20,1257
2016-05-23,1251.1
2016-05-24,1243.2
2016-05-25,1221.2
2016-05-26,1228.7
2016-05-27,1219.1
2016-05-30,1208.4
2016-05-31,1211.5
2016-06-01,1216.4
2016-06-02,1216.7
2016-06-03,1211.8
2016-06-06,1240.7
2016-06-07,1241.8
2016-06-08,1252.8
2016-06-09,1258.2
2016-06-10,1270
2016-06-13,1284.4
2016-06-14,1280.1
2016-06-15,1282.1
2016-06-16,1304.3
2016-06-17,1285.4
2016-06-20,1282.1
2016-06-21,1279.8
2016-06-22,1265.3
2016-06-23,1264.1
2016-06-24,1321.4
2016-06-27,1326
2016-06-28,1309.8
2016-06-29,1317.4
2016-06-30,1317.5
2016-07-01,1332.4
2016-07-04,1351.4
2016-07-05,1345.1
2016-07-06,1374.5
2016-07-07,1364.1
2016-07-08,1356.5
2016-07-11,1359.4
2016-07-12,1353.5
2016-07-13,1338.9
2016-07-14,1328.8
2016-07-15,1334.7
2016-07-18,1326.7
2016-07-19,1332.8
2016-07-20,1325.6
2016-07-21,1321.7
2016-07-22,1322.5
2016-07-25,1318.7
2016-07-26,1320.9
2016-07-27,1320.4
2016-07-28,1340.2
2016-07-29,1333.7
2016-08-01,1348.1
2016-08-02,1359.6
2016-08-03,1363.8
2016-08-04,1351.7
2016-08-05,1361.4
2016-08-08,1331.8
2016-08-09,1333.9
2016-08-10,1352.7
2016-08-11,1343.6
2016-08-12,1338.2
2016-08-15,1340.3
2016-08-16,1351.8
2016-08-17,1342.5
2016-08-18,1349
2016-08-19,1345.8
2016-08-22,1335.4
2016-08-23,1338.9
2016-08-24,1338
2016-08-25,1323.8
2016-08-26,1326.5
2016-08-29,1319.3
2016-08-30,1319.6
2016-08-31,1314
2016-09-01,1306.4
2016-09-02,1312.1
2016-09-05,1326.8
2016-09-06,1332.8
2016-09-07,1347.6
2016-09-08,1348.8
2016-09-09,1336.2
2016-09-12,1324.5
2016-09-13,1328.4
2016-09-14,1323.3
2016-09-15,1321.3
2016-09-16,1313.8
2016-09-19,1313.7
2016-09-20,1314.8
2016-09-21,1320
2016-09-22,1332.8
2016-09-23,1337.9
2016-09-26,1338.1
2016-09-27,1337.3
2016-09-28,1325.6
2016-09-29,1321.4
2016-09-30,1326.2
2016-10-03,1317.5
2016-10-04,1308.5
2016-10-05,1273.5
2016-10-06,1266.8
2016-10-07,1256.8
2016-10-10,1262.3
2016-10-11,1255
2016-10-12,1255.6
2016-10-13,1259.5
2016-10-14,1253.2
2016-10-17,1252.6
2016-10-18,1261.6
2016-10-19,1269.9
2016-10-20,1269.7
2016-10-21,1264.6
2016-10-25,1267.9
2016-10-26,1272.2
2016-10-27,1269.9
2016-10-28,1266.4
2016-10-31,1274
2016-11-01,1284.4
2016-11-02,1296.2
2016-11-03,1292.7
2016-11-04,1301.7
2016-11-07,1287.4
2016-11-08,1284
2016-11-09,1304
2016-11-10,1281.5
2016-11-11,1255.8
2016-11-14,1224.3
2016-11-15,1224.8
2016-11-16,1226.5
2016-11-17,1228.7
2016-11-18,1206
2016-11-21,1213.9
2016-11-22,1217.3
2016-11-23,1213.4
2016-11-24,1186.9
2016-11-25,1188.2
2016-11-28,1189.9
2016-11-29,1187.3
2016-11-30,1188
2016-12-01,1169.2
2016-12-02,1172.3
2016-12-05,1165.5
2016-12-06,1171.4
2016-12-07,1171.3
2016-12-08,1175.9
2016-12-09,1170.4
2016-12-12,1155.7
2016-12-13,1158.4
2016-12-14,1161.4
2016-12-15,1133.1
2016-12-16,1134.5
2016-12-19,1138.1
2016-12-20,1133.1
2016-12-21,1134.7
2016-12-22,1131.2
2016-12-23,1131.1
2016-12-27,1143.8
2016-12-28,1140.5
2016-12-29,1147.7
2016-12-30,1159.6
2017-01-02,1149.3
2017-01-03,1148.2
2017-01-04,1166.2
2017-01-05,1173
2017-01-06,1178.3
2017-01-09,1175.9
2017-01-10,1183.4
2017-01-11,1187.4
2017-01-12,1204.4
2017-01-13,1197.1
2017-01-16,1203
2017-01-17,1215.4
2017-01-18,1212.8
2017-01-19,1203.6
2017-01-20,1199.4
2017-01-23,1213.3
2017-01-24,1213.3
2017-01-25,1204
2017-01-26,1192.9
2017-01-27,1184.1
2017-01-30,1189.9
2017-01-31,1198.9
2017-02-01,1210.5
2017-02-02,1221.8
2017-02-03,1213.4
2017-02-06,1222.2
2017-02-07,1231
2017-02-08,1236.3
2017-02-09,1242.2
2017-02-10,1225.6
2017-02-13,1229.6
2017-02-14,1229.5
2017-02-15,1225.6
2017-02-16,1237.4
2017-02-17,1242.5
2017-02-20,1235.9
2017-02-21,1228.5
2017-02-22,1237.4
2017-02-23,1238.1
2017-02-24,1255.8
2017-02-27,1255.5
2017-02-28,1251
2017-03-01,1245.7
2017-03-02,1244
2017-03-03,1227.2
2017-03-06,1231.3
2017-03-07,1223.8
2017-03-08,1213.3
2017-03-09,1204.7
2017-03-10,1196.6
2017-03-13,1207.8
2017-03-14,1203.3
2017-03-15,1201.8
2017-03-16,1224.3
2017-03-17,1229.3
2017-03-20,1232.9
2017-03-21,1231.8
2017-03-22,1245.8
2017-03-23,1248.3
2017-03-24,1244.5
2017-03-27,1257.5
2017-03-28,1253.7
2017-03-29,1252
2017-03-30,1250.6
2017-03-31,1242.3
2017-04-03,1245.4
2017-04-04,1259.5
2017-04-05,1253.1
2017-04-06,1253.7
2017-04-07,1265.1
2017-04-10,1253
2017-04-11,1257.4
2017-04-12,1274.3
2017-04-13,1287.8
2017-05-12,1228.3
2017-05-15,1231.7
2017-06-26,1243.2
2017-06-27,1251.4
2017-06-28,1253.2
2017-06-29,1245.6
2017-06-30,1242.8
2017-07-03,1233.9
2017-07-04,1224.5
2017-07-05,1225.1
2017-07-06,1224.2
2017-07-07,1221.3
2017-07-10,1207.8
2017-07-11,1210.2
2017-07-12,1217.9
2017-07-13,1222.4
2017-07-14,1219.5
2017-07-17,1230.9
2017-07-18,1237.9
2017-07-19,1241.7
2017-07-20,1237.9
2017-07-21,1248.2
2017-07-24,1256.9
2017-07-25,1251.1
2017-07-26,1247.9
2017-07-27,1262.8
2017-07-28,1259.1
2017-07-31,1267.7
2017-08-01,1265.6
2017-08-02,1266.4
2017-08-03,1263.1
2017-08-04,1269.7
2017-08-07,1256.2
2017-08-08,1262.4
2017-08-09,1267.8
2017-08-10,1279.2
2017-08-11,1287.7
2017-08-14,1280.9
2017-08-15,1274.4
2017-08-16,1270.5
2017-08-17,1284.1
2017-08-18,1295.1
2017-08-21,1287.3
2017-08-22,1285.8
2017-08-23,1286.7
2017-08-24,1286.8
2017-08-25,1287.6
2017-08-28,1297.2
2017-08-29,1321.5
2017-08-30,1311.3
2017-08-31,1307.2
2017-09-01,1318.4
2017-09-04,1334.4
2017-09-05,1333.6
2017-09-06,1340.3
2017-09-07,1339.9
2017-09-08,1354.3
2017-09-11,1338.2
2017-09-12,1326.8
2017-09-13,1332.9
2017-09-14,1326.1
2017-09-15,1323.5
2017-09-18,1314.6
2017-09-19,1309
2017-09-20,1315.1
2017-09-21,1294.3
2017-09-22,1297.1
2017-09-25,1295.2
2017-09-26,1303
2017-09-27,1291
2017-09-28,1284.1
2017-09-29,1288.6
2017-10-02,1274.3
2017-10-03,1270.8
2017-10-04,1277.9
2017-10-05,1278.5
2017-10-06,1269.6
2017-10-09,1281.7
2017-10-10,1291
2017-10-11,1290.2
2017-10-12,1294.9
2017-10-13,1294.5
2017-10-16,1304.7
2017-10-17,1289.1
2017-10-18,1280.2
2017-10-19,1286.4
2017-10-20,1280.8
2017-10-23,1275.4
2017-10-24,1278.4
2017-10-25,1272
2017-10-26,1278.7
2017-10-27,1267.6
2017-10-30,1271.3
2017-10-31,1274.3
2017-11-01,1278.8
2017-11-02,1276.5
2017-11-03,1275.7
2017-11-06,1271.7
2017-11-07,1276.4
2017-11-08,1280.8
2017-11-09,1284
2017-11-10,1285.1
2017-11-13,1278.2
2017-11-14,1273.6
2017-11-15,1285.7
2017-11-16,1277.8
2017-11-17,1283.8
2017-11-20,1291.4
2017-11-21,1280.5
2017-11-22,1282.9
2017-11-23,1289.7
2017-11-24,1289.6
2017-11-27,1294.2
2017-11-28,1293.5
2017-11-29,1294.6
2017-11-30,1282.2
2017-12-01,1276.9
2017-12-04,1273.9
2017-12-05,1275.5
2017-12-06,1269.1
2017-12-07,1256.3
2017-12-08,1245.8
2017-12-11,1250.4
2017-12-12,1243.4
2017-12-13,1241.4
2017-12-14,1255
2017-12-15,1257.3
2017-12-18,1257.7
2017-12-19,1263.4
2017-12-20,1266.2
2017-12-21,1265.9
2017-12-22,1268.6
2017-12-26,1277.9
2017-12-27,1285.5
2017-12-28,1292
2017-12-29,1297.3
2018-01-02,1311
2018-01-03,1314.2
2018-01-04,1313.1
2018-01-05,1317.5
2018-01-08,1317.6
2018-01-09,1314.5
2018-01-10,1316.4
2018-01-11,1319.5
2018-01-12,1331.3
2018-01-15,1343.6
2018-01-16,1334.2
2018-01-17,1336.9
2018-01-18,1329.3
2018-01-19,1336.2
2018-01-22,1333.5
2018-01-23,1336.9
2018-01-24,1350.2
2018-01-25,1360
2018-01-26,1354.4
2018-01-29,1348
2018-01-30,1345.1
2018-01-31,1343.2
2018-02-01,1340.3
2018-02-02,1345.7
2018-02-05,1336.9
2018-02-06,1344.2
2018-02-07,1328.3
2018-02-08,1311.1
2018-02-09,1316
2018-02-12,1320.9
2018-02-13,1330.2
2018-02-14,1331.2
2018-02-15,1354.5
2018-02-16,1359.1
2018-02-20,1337.8
2018-02-21,1329
2018-02-22,1323.7
2018-02-23,1329.3
2018-02-26,1339.7
2018-02-27,1333.2
2018-02-28,1320.6
2018-03-01,1311.4
2018-03-02,1317.2
2018-03-05,1325.8
2018-03-06,1325
2018-03-07,1332.8
2018-03-08,1325.7
2018-03-09,1319.7
2018-03-12,1318
2018-03-13,1318.6
2018-03-14,1324.9
2018-03-15,1323.4
2018-03-16,1320.5
2018-03-19,1312.5
2018-03-20,1312.3
2018-03-21,1316.6
2018-03-22,1328.9
2018-03-23,1342.5
2018-03-26,1348.1
2018-03-27,1348.5
2018-03-28,1339.5
2018-03-29,1323.8
2018-04-02,1331.9
2018-04-03,1338.7
2018-04-04,1343.6
2018-04-05,1328.5
2018-04-06,1324.6
2018-04-09,1327.2
2018-04-10,1335.7
2018-04-11,1346.8
2018-04-12,1346.9
2018-04-13,1341.5
2018-04-16,1345
2018-04-17,1342.6
2018-04-18,1346.4
2018-04-19,1347.7
2018-04-20,1341.4
2018-04-23,1329
2018-04-24,1327.2
2018-04-25,1324.6
2018-04-26,1322.7
2018-04-27,1318
2018-04-30,1316.5
2018-05-01,1309.1
2018-05-02,1310.6
2018-05-03,1311.8
2018-05-04,1310.3
2018-05-07,1314.2
2018-05-08,1309.5
2018-05-09,1307.3
2018-05-10,1316.4
2018-05-11,1325.1
2018-05-14,1320.2
2018-05-15,1309.9
2018-05-16,1291.1
2018-05-17,1286.5
2018-05-18,1286.9
2018-05-21,1284.7
2018-05-22,1294.7
2018-05-23,1297.1
2018-05-24,1296.2
2018-05-25,1306.6
2018-05-28,1298
2018-05-29,1303.9
2018-05-30,1296.8
2018-05-31,1304
2018-06-01,1298.9
2018-06-04,1294.1
2018-06-05,1291.6
2018-06-06,1295.3
2018-06-07,1299.1
2018-06-08,1300.3
2018-06-11,1295.2
2018-06-12,1298.3
2018-06-13,1295.1
2018-06-14,1305.2
2018-06-15,1299.1
2018-06-18,1281.1
2018-06-19,1279.5
2018-06-20,1272.2
2018-06-21,1263.3
2018-06-22,1269
2018-06-25,1268.3
2018-06-26,1257.5
2018-06-27,1259
2018-06-28,1252
2018-06-29,1251.9
2018-07-02,1248.9
2018-07-03,1246.7
2018-07-04,1257.5
2018-07-05,1251.9
2018-07-06,1254.4
2018-07-09,1264.4
2018-07-10,1253.7
2018-07-11,1250.2
2018-07-12,1244.4
2018-07-13,1241.6
2018-07-16,1244.1
2018-07-17,1243.1
2018-07-18,1223.1
2018-07-19,1216.4
2018-07-20,1224.2
2018-07-23,1230.4
2018-07-24,1226.7
2018-07-25,1230.5
2018-07-26,1228.3
2018-07-27,1219
2018-07-30,1222.5
2018-07-31,1218.3
2018-08-01,1223.6
2018-08-02,1216.6
2018-08-03,1208.3
2018-08-06,1210.4
2018-08-07,1215.6
2018-08-08,1211.7
2018-08-09,1215.4
2018-08-10,1211.1
2018-08-13,1202.1
2018-08-14,1195.6
2018-08-15,1185.7
2018-08-16,1179.3
2018-08-17,1176.7
2018-08-20,1186.6
2018-08-21,1194
2018-08-22,1196.9
2018-08-23,1188.4
2018-08-24,1191.5
2018-08-27,1204.1
2018-08-28,1214.2
2018-08-29,1204
2018-08-30,1202.5
2018-08-31,1206.4
2018-09-03,1201.7
2018-09-04,1195.1
2018-09-05,1194.3
2018-09-06,1205.2
2018-09-07,1201.2
2018-09-10,1193.6
2018-09-11,1194
2018-09-12,1196.7
2018-09-13,1205.6
2018-09-14,1206.2
2018-09-17,1197.7
2018-09-18,1198.6
2018-09-19,1202.9
2018-09-20,1203.4
2018-09-21,1206.2
2018-09-24,1199.2
2018-09-25,1200.3
2018-09-26,1198.6
2018-09-27,1195.6
2018-09-28,1184.9
2018-10-01,1186.1
2018-10-02,1190.7
2018-10-03,1204.1
2018-10-04,1199.6
2018-10-05,1202
2018-10-08,1193.9
2018-10-09,1186.6
2018-10-10,1187.4
2018-10-11,1203.6
2018-10-12,1221.2
2018-10-15,1231.4
2018-10-16,1228.5
2018-10-17,1227.2
2018-10-18,1223.4
2018-10-19,1228.6
2018-10-22,1223.6
2018-10-23,1234.3
2018-10-24,1230.8
2018-10-25,1232.4
2018-10-26,1237
2018-10-29,1230.5
2018-10-30,1220.8
2018-10-31,1217.3
2018-11-01,1223.8
2018-11-02,1236
2018-11-05,1231.7
2018-11-06,1234.8
2018-11-07,1234.7
2018-11-08,1224
2018-11-09,1219.2
2018-11-12,1207.4
2018-11-13,1197.7
2018-11-14,1198.9
2018-11-15,1210.7
2018-11-16,1216.3
2018-11-19,1222.7
2018-11-20,1223.6
2018-11-21,1224.1
2018-11-22,1228.9
2018-11-23,1222.3
2018-11-26,1226
2018-11-27,1224.8
2018-11-28,1213.3
2018-11-29,1226.5
2018-11-30,1221.5
2018-12-03,1231.1
2018-12-04,1239.8
2018-12-05,1236.3
2018-12-06,1236.7
2018-12-07,1240.6
2018-12-10,1247.7
2018-12-11,1248.4
2018-12-12,1245.2
2018-12-13,1244.8
2018-12-14,1239.7
2018-12-17,1239.6
2018-12-18,1249.6
2018-12-19,1249.1
2018-12-20,1255.5
2018-12-21,1258.1
2018-12-24,1262.4
2018-12-26,1272.7
2018-12-27,1271.9
2018-12-28,1277.4
2018-12-31,1282.9
2019-01-02,1287.3
2019-01-03,1288.2
2019-01-04,1290.9
2019-01-07,1291.1
2019-01-08,1283.3
2019-01-09,1281.4
2019-01-10,1291.8
2019-01-11,1292.6
2019-01-14,1294.1
2019-01-15,1289.1
2019-01-16,1289.7
2019-01-17,1294.1
2019-01-18,1285.9
2019-01-21,1278.8
2019-01-22,1284.6
2019-01-23,1285.4
2019-01-24,1279.6
2019-01-25,1283.3
2019-01-28,1302.3
2019-01-29,1308.7
2019-01-30,1313.6
2019-01-31,1322.1
2019-02-01,1320.9
2019-02-04,1311.4
2019-02-05,1312.8
2019-02-06,1313.7
2019-02-07,1306.8
2019-02-08,1311.2
2019-02-11,1307.1
2019-02-12,1312.2
2019-02-13,1311.8
2019-02-14,1306.3
2019-02-15,1316.8
2019-02-18,1324.8
2019-02-19,1329.6
2019-02-20,1344.3
2019-02-21,1334.1
2019-02-22,1323.1
2019-02-25,1329.8
2019-02-26,1327.2
2019-02-27,1327
2019-02-28,1325.1
2019-03-01,1310.3
2019-03-04,1288.2
2019-03-05,1284.6
2019-03-06,1286.3
2019-03-07,1285.9
2019-03-08,1294.6
2019-03-11,1296.1
2019-03-12,1296.8
2019-03-13,1309
2019-03-14,1299.2
2019-03-15,1302.9
2019-03-18,1305.5
2019-03-19,1306.9
2019-03-20,1303.3
2019-03-21,1317.8
2019-03-22,1311.8
2019-03-25,1318.5
2019-03-26,1315.2
2019-03-27,1318.7
2019-03-28,1307
2019-03-29,1291.7
2019-04-01,1290.3
2019-04-02,1287.9
2019-04-03,1293
2019-04-04,1291.3
2019-04-05,1290.1
2019-04-08,1297.5
2019-04-09,1302.1
2019-04-10,1304.3
2019-04-11,1304.4
2019-04-12,1294.4
2019-04-15,1285.8
2019-04-16,1283.3
2019-04-17,1276.8
2019-04-18,1275.7
2019-04-22,1279.5
2019-04-23,1272.9
2019-04-24,1272.1
2019-04-25,1277.7
2019-04-26,1280.4
2019-04-29,1283
2019-04-30,1284.9
2019-05-01,1282.6
2019-05-02,1271.3
2019-05-03,1270.7
2019-05-06,1281.5
2019-05-07,1282
2019-05-08,1288.4
2019-05-09,1285
2019-05-10,1285.9
2019-05-13,1284
2019-05-14,1297.9
2019-05-15,1298.5
2019-05-16,1294.9
2019-05-17,1284.8
2019-05-20,1275.1
2019-05-21,1276.3
2019-05-22,1274.2
2019-05-23,1276.9
2019-05-24,1281.2
2019-05-27,1286.1
2019-05-28,1283.9
2019-05-29,1283.4
2019-05-30,1276.4
2019-05-31,1298.7
2019-06-03,1317.3
2019-06-04,1326.3
2019-06-05,1336.9
2019-06-06,1336.6
2019-06-07,1333.3
2019-06-10,1328.9
2019-06-11,1322.7
2019-06-12,1335.6
2019-06-13,1336.4
2019-06-14,1343.2
2019-06-17,1334.9
2019-06-18,1345.6
2019-06-19,1342.8
2019-06-20,1381.4
2019-06-21,1390.9
2019-06-24,1407.9
2019-06-25,1430.4
2019-06-26,1405.9
2019-06-27,1405.1
2019-06-28,1413.8
2019-07-01,1389.8
2019-07-02,1393.1
2019-07-03,1425.3
2019-07-04,1415.2
2019-07-05,1414.2
2019-07-08,1405.2
2019-07-09,1387.9
2019-07-10,1395.8
2019-07-11,1421.8
2019-07-12,1406.4
2019-07-15,1415.4
2019-07-16,1415.1
2019-07-17,1401.4
2019-07-18,1421.3
2019-07-19,1439.2
2019-07-22,1426.4
2019-07-23,1419.3
2019-07-24,1425.4
2019-07-25,1426.9
2019-07-26,1418.9
2019-07-29,1418.9
2019-07-30,1428.1
2019-07-31,1431.4
2019-08-01,1407.2
2019-08-02,1436.4
2019-08-05,1457.2
2019-08-06,1464.1
2019-08-07,1489.3
2019-08-08,1496.4
2019-08-09,1504
2019-08-12,1504.5
2019-08-13,1531.8
2019-08-14,1507.4
2019-08-15,1520.8
2019-08-16,1512.5
2019-08-19,1500.4
2019-08-20,1503.8
2019-08-21,1500.9
2019-08-22,1496.8
2019-08-23,1496.3
2019-08-26,1530.2
2019-08-27,1531.2
2019-08-28,1543.1
2019-08-29,1538.7
2019-08-30,1526.1
2019-09-02,1525.1
2019-09-03,1532.5
2019-09-04,1537.3
2019-09-05,1539.7
2019-09-06,1508.1
2019-09-09,1509.8
2019-09-10,1494.2
2019-09-11,1492.6
2019-09-12,1503.1
2019-09-13,1507
2019-09-16,1504.6
2019-09-17,1497.9
2019-09-18,1501.4
2019-09-19,1496.1
2019-09-20,1504.9
2019-09-23,1519.2
2019-09-24,1522.3
2019-09-25,1530
2019-09-26,1509.2
2019-09-27,1493.7
2019-09-30,1487.1
2019-10-01,1468.5
2019-10-02,1483.9
2019-10-03,1501.5
2019-10-04,1509.6
2019-10-07,1501.4
2019-10-08,1503.1
2019-10-09,1502.2
2019-10-10,1507.3
2019-10-11,1494
2019-10-14,1495.9
2019-10-15,1496.9
2019-10-16,1483
2019-10-17,1486.1
2019-10-18,1488.6
2019-10-21,1490.9
2019-10-22,1488.1
2019-10-23,1492.8
2019-10-24,1489.6
2019-10-25,1505
2019-10-28,1505.6
2019-10-29,1492.3
2019-10-30,1490.4
2019-10-31,1506.4
2019-11-01,1510.1
2019-11-04,1509.3
2019-11-05,1504.3
2019-11-06,1488.6
